ECG,X,Y,Z,Timestamp
274,0.20,-9.30,-1.33,2024-01-20 15:12:57.541
271,0.24,-9.34,-1.41,2024-01-20 15:12:57.576
288,0.20,-9.34,-1.33,2024-01-20 15:12:57.608
305,0.24,-9.30,-1.33,2024-01-20 15:12:57.674
410,0.24,-9.34,-1.33,2024-01-20 15:12:57.708
379,0.24,-9.34,-1.33,2024-01-20 15:12:57.742
276,0.20,-9.34,-1.37,2024-01-20 15:12:57.808
260,0.24,-9.30,-1.37,2024-01-20 15:12:57.840
267,0.24,-9.30,-1.33,2024-01-20 15:12:57.874
372,0.20,-9.38,-1.33,2024-01-20 15:12:57.940
400,0.20,-9.34,-1.33,2024-01-20 15:12:57.973
318,0.16,-9.30,-1.37,2024-01-20 15:12:58.007
258,0.20,-9.30,-1.33,2024-01-20 15:12:58.073
282,0.24,-9.38,-1.37,2024-01-20 15:12:58.106
331,0.24,-9.30,-1.33,2024-01-20 15:12:58.140
422,0.24,-9.34,-1.41,2024-01-20 15:12:58.174
361,0.24,-9.30,-1.41,2024-01-20 15:12:58.240
309,0.24,-9.34,-1.37,2024-01-20 15:12:58.273
261,0.27,-9.38,-1.37,2024-01-20 15:12:58.307
282,0.27,-9.38,-1.33,2024-01-20 15:12:58.373
380,0.24,-9.30,-1.33,2024-01-20 15:12:58.407
403,0.24,-9.34,-1.37,2024-01-20 15:12:58.440
661,0.20,-9.30,-1.41,2024-01-20 15:12:58.506
253,0.20,-9.30,-1.37,2024-01-20 15:12:58.539
280,0.27,-9.34,-1.29,2024-01-20 15:12:58.574
344,0.27,-9.30,-1.41,2024-01-20 15:12:58.639
440,0.24,-9.30,-1.33,2024-01-20 15:12:58.673
383,0.24,-9.34,-1.37,2024-01-20 15:12:58.706
277,0.20,-9.34,-1.37,2024-01-20 15:12:58.772
279,0.20,-9.34,-1.37,2024-01-20 15:12:58.806
280,0.27,-9.34,-1.37,2024-01-20 15:12:58.839
396,0.24,-9.38,-1.33,2024-01-20 15:12:58.872
389,0.24,-9.38,-1.37,2024-01-20 15:12:58.938
298,0.24,-9.34,-1.41,2024-01-20 15:12:58.972
264,0.24,-9.38,-1.37,2024-01-20 15:12:59.005
288,0.24,-9.34,-1.45,2024-01-20 15:12:59.072
355,0.24,-9.34,-1.37,2024-01-20 15:12:59.105
418,0.24,-9.34,-1.33,2024-01-20 15:12:59.138
311,0.16,-9.34,-1.41,2024-01-20 15:12:59.204
267,0.31,-9.38,-1.33,2024-01-20 15:12:59.238
260,0.20,-9.30,-1.37,2024-01-20 15:12:59.271
303,0.27,-9.41,-1.37,2024-01-20 15:12:59.338
417,0.24,-9.41,-1.41,2024-01-20 15:12:59.371
400,0.16,-9.38,-1.37,2024-01-20 15:12:59.404
284,0.27,-9.38,-1.33,2024-01-20 15:12:59.470
260,0.24,-9.38,-1.37,2024-01-20 15:12:59.504
639,0.24,-9.30,-1.41,2024-01-20 15:12:59.537
228,0.27,-9.38,-1.37,2024-01-20 15:12:59.571
432,0.16,-9.30,-1.33,2024-01-20 15:12:59.637
